iter	Logloss
0	0.6898509884
1	0.6865516343
2	0.6833461815
3	0.678236854
4	0.674188067
5	0.6701042448
6	0.66828366
7	0.6644506566
8	0.6615289829
9	0.6594202916
10	0.6567326601
11	0.6538139505
12	0.6519410797
13	0.6497572791
14	0.6470146346
15	0.6439789632
16	0.6420454478
17	0.6396532738
18	0.6347440795
19	0.6325052067
20	0.6294361007
21	0.6268834525
22	0.6242705745
23	0.621020898
24	0.6189521029
25	0.6170258198
26	0.6146784624
27	0.6128310825
28	0.6107130247
29	0.6077347968
30	0.6040817711
31	0.6020394746
32	0.5996129768
33	0.5975747115
34	0.5943826563
35	0.5916181371
36	0.589073314
37	0.5875800207
38	0.5852331968
39	0.5828946723
40	0.5814971774
41	0.5794948365
42	0.5761744375
43	0.5746524521
44	0.5711858658
45	0.5696774558
46	0.5675401316
47	0.5655455565
48	0.5639008591
49	0.5619458839
50	0.5599035282
51	0.557634659
52	0.5560966084
53	0.5538461165
54	0.5517916081
55	0.5499084817
56	0.5489951956
57	0.5459199244
58	0.5447913883
59	0.5440817924
60	0.5422902554
61	0.5401117901
62	0.5389122944
63	0.5374535621
64	0.5361922361
65	0.5340757789
66	0.532451652
67	0.5297544763
68	0.5277906681
69	0.5261867562
70	0.5245727664
71	0.5233701881
72	0.5218056981
73	0.521085728
74	0.5189731833
75	0.5184322424
76	0.5170215278
77	0.5153122139
78	0.5141243373
79	0.5131625592
80	0.5112288067
81	0.5094497188
82	0.5082833613
83	0.5067278227
84	0.5051965895
85	0.503362785
86	0.5023468239
87	0.5012277728
88	0.499433746
89	0.4982899747
90	0.4965884858
91	0.4955999126
92	0.4928947932
93	0.4911614704
94	0.4895914079
95	0.4881573958
96	0.4872574777
97	0.4855647625
98	0.4848903796
99	0.4837887868
100	0.48229001
101	0.4808349827
102	0.4799074099
103	0.4791771545
104	0.478523935
105	0.4775040317
106	0.4758430319
107	0.4741123471
108	0.4727438407
109	0.4716463976
110	0.4704844862
111	0.4690071989
112	0.4680629087
113	0.4664347804
114	0.4649712462
115	0.463493129
116	0.4622944928
117	0.4609883503
118	0.4599097882
119	0.4584410374
120	0.4576913081
121	0.4567000969
122	0.4558844766
123	0.4540224247
124	0.4528492498
125	0.4512817661
126	0.4507904139
127	0.4488737344
128	0.4478790256
129	0.4460935649
130	0.4445034951
131	0.4437324246
132	0.4427251186
133	0.441645608
134	0.4398446453
135	0.4390151829
136	0.4376360059
137	0.4366754727
138	0.4352679
139	0.4339106867
140	0.4329673747
141	0.4318321991
142	0.4301687688
143	0.4293153567
144	0.4281852497
145	0.4271804038
146	0.426071638
147	0.4252084445
148	0.4244011829
149	0.4228204795
150	0.4219070452
151	0.4210190722
152	0.4202496616
153	0.4192225556
154	0.4183935377
155	0.4172997108
156	0.4159430014
157	0.4146408899
158	0.4134404458
159	0.4122571931
160	0.4108936071
